logID,Task,Checkpoint,Elapsed Time
2017-Jun-02 02:37:14,1,1,0.001000000
2017-Jun-02 02:37:14,1,2,3.392000000
2017-Jun-02 03:14:40,1,1,0.001000000
2017-Jun-02 03:14:40,1,2,3.254000000
2017-Jun-02 03:14:40,1,3,8.268000000
2017-Jun-02 03:14:40,1,4,175.198000000
2017-Jun-02 03:14:40,1,5,224.294000000
2017-Jun-02 03:53:56,1,1,0.001000000
2017-Jun-02 03:53:56,1,2,1.895999999
2017-Jun-02 04:32:47,1,1,0.001000000
2017-Jun-02 04:32:47,1,2,1.374000000
2017-Jun-02 05:11:38,1,1,0.001000000
2017-Jun-02 05:11:38,1,2,2.153999999
2017-Jun-02 05:50:29,1,1,0.001000000
2017-Jun-02 05:50:29,1,2,3.884999999
2017-Jun-02 06:29:22,1,1,0.001000000
2017-Jun-02 06:29:22,1,2,4.387000000
2017-Jun-02 06:29:22,1,3,208.370000000
2017-Jun-02 07:47:01,1,1,0.001000000
2017-Jun-02 07:47:01,1,2,3.342000000
2017-Jun-02 08:25:57,1,1,0.001000000
2017-Jun-02 08:25:57,1,2,2.639000000
2017-Jun-02 08:25:57,1,3,102.034000000
2017-Jun-02 09:04:47,1,1,0.001000000
2017-Jun-02 09:04:47,1,2,4.134999999
2017-Jun-02 09:04:47,1,3,84.378000000
2017-Jun-02 09:43:38,1,1,0.001000000
2017-Jun-02 09:43:38,1,2,3.895000000
2017-Jun-02 10:22:32,1,1,0.001000000
2017-Jun-02 10:22:32,1,2,1.316999999
2017-Jun-02 10:22:32,1,3,42.310000000
2017-Jun-02 10:22:32,1,4,187.909999999
2017-Jun-02 10:22:32,1,5,236.484000000
2017-Jun-02 11:40:13,1,1,0.001000000
2017-Jun-02 11:40:13,1,2,3.496000000
2017-Jun-02 12:19:07,1,1,0.001000000
2017-Jun-02 12:19:07,1,2,1.242000000
2017-Jun-02 12:19:07,1,3,6.254999999
2017-Jun-02 12:57:58,1,1,0.001000000
2017-Jun-02 12:57:58,1,2,4.541000000
2017-Jun-02 12:57:58,1,3,44.304999999
2017-Jun-02 13:36:51,1,1,0.001000000
2017-Jun-02 13:36:51,1,2,3.108000000
2017-Jun-02 13:36:51,1,3,86.891000000
2017-Jun-02 13:36:51,1,4,173.841000000
2017-Jun-02 14:15:38,1,1,0.001000000
2017-Jun-02 14:15:38,1,2,1.346000000
2017-Jun-02 14:15:38,1,3,6.440000000
2017-Jun-02 15:22:50,1,1,0.001000000
2017-Jun-02 15:22:50,1,2,1.953000000
2017-Jun-02 15:22:50,1,3,7.105999999
2017-Jun-02 15:22:50,1,4,84.256000000
2017-Jun-02 15:22:50,1,5,134.858000000
2017-Jun-02 16:14:56,1,1,0.001000000
2017-Jun-02 16:14:56,1,2,4.357000000
2017-Jun-02 16:14:56,1,3,9.510999999
2017-Jun-02 16:14:56,1,4,68.090999999
2017-Jun-02 16:14:56,1,5,115.912999999
2017-Jun-02 16:51:03,1,1,0.001000000
2017-Jun-02 16:51:03,1,2,4.075000000
2017-Jun-02 16:51:03,1,3,145.608000000
2017-Jun-02 20:39:51,1,1,0.001000000
2017-Jun-02 20:39:51,1,2,3.992000000
2017-Jun-02 20:56:35,1,1,0.001000000
2017-Jun-02 20:56:35,1,2,4.192000000
2017-Jun-02 21:15:52,1,1,0.001000000
2017-Jun-02 21:33:36,1,1,0.001000000
2017-Jun-02 21:33:36,1,2,4.794000000
