ActualX,ActualY,ActualZ,MeasuredX,MeasuredY,MeasuredZ
2.7307,0.1902,0.2469,2.6448,0.1932,0.2437
2.5181,0.4255,0.3777,2.4707,0.4249,0.3758
2.4308,-0.4831,0.4197,2.46,-0.4839,0.4298
2.7168,-0.3359,0.2493,2.6325,-0.3166,0.2461
2.4305,-0.4826,0.4204,2.4583,-0.4827,0.4311
2.6473,0.4243,0.3002,2.575,0.4203,0.2955
2.8335,0.4758,0.0826,2.7781,0.4743,0.0868
2.7118,0.4237,0.2613,2.6224,0.4171,0.258
2.5818,0.426,0.3398,2.5387,0.4265,0.3371
2.8111,-0.5354,0.0857,2.7713,-0.5232,0.0911
2.5773,0.3353,-0.4576,2.7601,0.3666,-0.4838
2.6465,0.4275,0.301,2.5711,0.4205,0.2967
2.6625,0.1191,0.2882,2.5711,0.1214,0.2824
2.7272,0.117,0.249,2.6387,0.1193,0.2423
2.814,-0.5373,-0.0459,2.794,-0.5268,-0.0409
2.8067,-0.6204,0.0864,2.7579,-0.6055,0.0906
2.5802,0.3525,0.3406,2.5673,0.3602,0.3451
2.493,-0.555,0.3826,2.4495,-0.5395,0.3814
2.6641,0.1955,0.2879,2.5886,0.1983,0.2844
2.6534,-0.2555,0.2893,2.5692,-0.2391,0.2822
2.6887,-0.4891,0.2648,2.6346,-0.468,0.2644
2.812,-0.6208,-0.0455,2.7826,-0.6103,-0.0408
2.7116,0.4244,0.2621,2.6265,0.4202,0.2584
2.8063,-0.6206,0.0869,2.7557,-0.604,0.0906
2.6514,-0.328,0.2896,2.5789,-0.3128,0.2875
2.4511,0.4343,0.4188,2.4495,0.4384,0.4239
2.6621,0.1206,0.2882,2.5654,0.1254,0.2818
2.4497,0.3586,0.419,2.4797,0.3678,0.4284
2.6619,0.1178,0.2882,2.575,0.1249,0.2828
2.8323,0.4794,0.0834,2.7871,0.4767,0.088
2.8122,-0.5353,0.02,2.7894,-0.5241,0.0231
2.6619,0.1212,0.2883,2.5692,0.1247,0.2822
2.8322,0.4795,0.0832,2.7781,0.4771,0.0868
2.6225,-0.5585,0.3043,2.5596,-0.5376,0.3021
2.5167,0.4294,0.3795,2.4672,0.43,0.376
2.8101,-0.6201,0.0206,2.778,-0.6056,0.0258
2.7179,-0.2538,0.2502,2.6124,-0.2369,0.2467
2.8325,0.3944,0.0833,2.7894,0.3957,0.0871
2.4298,-0.4786,0.4215,2.46,-0.479,0.4298
2.4515,0.432,0.4187,2.4495,0.4416,0.4247
2.6527,-0.2545,0.2895,2.5692,-0.2374,0.2839
2.8052,-0.6222,0.0875,2.7579,-0.6046,0.0906
2.8341,0.3921,0.0174,2.81,0.4002,0.0233
2.8325,0.3946,0.0835,2.7894,0.3957,0.0871
2.7267,0.1205,0.2491,2.6366,0.1244,0.243
2.6243,-0.4834,0.3044,2.5808,-0.4696,0.3046
2.6891,-0.4853,0.265,2.6386,-0.4697,0.2639
2.8123,-0.5329,0.0203,2.7871,-0.5209,0.0268
2.5569,-0.4692,-0.4548,2.7402,-0.5017,-0.4803
2.8136,-0.5346,-0.046,2.7985,-0.5278,-0.041
2.7086,0.3542,0.2625,2.6737,0.3553,0.2631
2.8318,0.4804,0.0833,2.7781,0.4789,0.0868
2.6437,0.3542,0.3015,2.5926,0.3558,0.3009
2.6888,-0.4854,0.2651,2.6346,-0.468,0.2635
2.832,0.3952,0.0833,2.7894,0.3975,0.0871
2.5155,0.4327,0.3796,2.4672,0.4316,0.376
2.8357,0.4794,0.017,2.7985,0.4822,0.0232
2.8101,-0.618,0.0202,2.7758,-0.6042,0.023
2.687,-0.5601,0.2653,2.6084,-0.5357,0.2609
2.812,-0.5327,0.0201,2.7849,-0.5232,0.0277
2.8137,-0.5333,-0.046,2.7917,-0.5236,-0.0409
2.5571,-0.4669,-0.455,2.7358,-0.5008,-0.4795
2.6239,-0.4836,0.3043,2.5789,-0.4675,0.3044
2.5803,0.4316,0.3407,2.5311,0.4311,0.3402
2.71,0.4277,0.2621,2.6184,0.4233,0.2576
2.6027,-0.064,-0.472,2.7403,-0.0643,-0.4893
2.6434,0.3557,0.3016,2.5886,0.3561,0.3013
2.6613,0.1234,0.2882,2.5711,0.1256,0.2824
