actual_x, actual_y, actual_z, measured_x, measured_y, measured_z
2.84371,-0.490421,0.0148015,2.81235,-0.437438,0.0187304
2.84234,-0.491763,0.0148513,2.82397,-0.439391,0.0188161
2.84287,-0.492798,0.0140902,2.81235,-0.437438,0.0187304
2.84263,-0.491497,0.0147552,2.81235,-0.437438,0.0187304
2.84216,-0.491044,0.0148945,2.81235,-0.432829,0.0187304
2.84286,-0.493898,0.0140261,2.81235,-0.437438,0.0187304
2.8429,-0.491089,0.0149883,2.81235,-0.437438,0.0187304
2.84284,-0.490333,0.0145072,2.81235,-0.432829,0.0187304
2.84191,-0.495415,0.0158797,2.81235,-0.437438,0.0187304
2.84339,-0.493301,0.0152106,2.81235,-0.437438,0.0187304
2.58638,-0.431621,-0.459644,2.7668,-0.41165,-0.484925
2.586,-0.431159,-0.459542,2.75565,-0.409849,-0.482978
2.58559,-0.433693,-0.459328,2.7668,-0.41165,-0.484925
2.58568,-0.435125,-0.459261,2.7668,-0.41165,-0.484925
2.58559,-0.431182,-0.459753,2.7668,-0.416184,-0.484925
2.58662,-0.428787,-0.459405,2.75565,-0.409849,-0.482978
2.58719,-0.430534,-0.459622,2.75565,-0.409849,-0.482978
2.58571,-0.432607,-0.458914,2.75565,-0.414365,-0.482978
2.58505,-0.433222,-0.458948,2.75565,-0.409849,-0.482978
2.58584,-0.429704,-0.458602,2.7668,-0.416184,-0.484925
2.58557,-0.436523,-0.458981,2.75565,-0.409849,-0.482978
2.67491,-0.294927,0.285596,2.58864,-0.234403,0.280112
2.67498,-0.292881,0.285957,2.58864,-0.230161,0.280112
2.675,-0.293995,0.286085,2.58864,-0.234403,0.280112
2.67487,-0.29331,0.285853,2.58864,-0.230161,0.280112
2.67521,-0.293889,0.285982,2.58864,-0.234403,0.280112
2.67488,-0.291944,0.286619,2.58864,-0.234403,0.280112
2.67527,-0.294393,0.285938,2.58864,-0.230161,0.280112
2.67472,-0.293477,0.286362,2.58864,-0.230161,0.280112
2.6748,-0.293168,0.286184,2.58864,-0.230161,0.280112
2.67422,-0.296115,0.286679,2.58864,-0.230161,0.280112
2.67366,-0.294123,0.286877,2.58864,-0.234403,0.284354
2.67394,-0.292976,0.286312,2.58864,-0.234403,0.284354
2.67505,-0.292703,0.286189,2.58864,-0.230161,0.280112
2.67532,-0.29229,0.285906,2.58864,-0.230161,0.280112
2.67535,-0.290325,0.286319,2.59849,-0.235428,0.281184
2.67537,-0.290659,0.285874,2.58864,-0.230161,0.280112
2.67636,-0.288949,0.285877,2.58864,-0.230161,0.280112
2.67574,-0.286716,0.286807,2.58864,-0.230161,0.280112
2.67493,-0.292947,0.28648,2.58864,-0.230161,0.280112
2.67506,-0.294455,0.286578,2.58864,-0.234403,0.284354
2.67494,-0.293287,0.286518,2.58864,-0.234403,0.280112
2.67502,-0.292765,0.286201,2.58864,-0.238646,0.280112
2.67524,-0.295178,0.285697,2.58864,-0.238646,0.280112
2.67531,-0.292298,0.286011,2.58864,-0.234403,0.280112
2.67472,-0.291137,0.286484,2.58864,-0.234403,0.280112
2.71765,-0.526477,0.261225,2.62847,-0.453933,0.258606
2.71852,-0.521595,0.261481,2.63862,-0.460145,0.259612
2.71797,-0.523789,0.26068,2.63862,-0.455821,0.255288
